X,Y,GIS_NUMBER,PERMIT_NUM,OUTFALL,NPDES_NUM,PERMITTEE,STATUS,DTYPE,INITIALS,COUNTY,LAT_DD,LONG_DD,SEGMENT,BASIN,REGION,HORZ_METH,HORZ_ACC,HORZ_REF,HORZ_DATE,HORZ_ORG,HORZ_DATUM,HORZ_DESC,UTM_ZONE
-95.23087055799999,29.735280718000013,10831-001.001,10831-001,001,0057185,CITY OF GALENA PARK,C,D,JMB,HARRIS,29.73528072,-95.23087056,1007,10,12,DRG,12.00000000,other,20150528,TCEQ,NAD83,End of pipe as indicated on paper map,15
-96.457136999,32.609311002000027,10834-001.001,10834-001,001,0024929,CITY OF CRANDALL,C,D,WS,KAUFMAN,32.60931100,-96.45713700,0819,08,04,DRG,12.00000000,other,20040623,TCEQ,NAD83,End of pipe as indicated on paper map,14
-94.024207547,29.991770269000028,10838-003.001,10838-003,001,0111589,JEFFERSON COUNTY WCID 10,C,D,KNS,JEFFERSON,29.99177027,-94.02420755,0701,07,10,DRG,12.00000000,other,20090414,TCEQ,NAD83,End of pipe as indicated on paper map,15
-96.666495999,29.905449,10840-001.001,10840-001,001,0055077,CITY OF FAYETTEVILLE,C,D,NLV,FAYETTE,29.90544900,-96.66649600,1402,14,11,DRG,12.00000000,other,20080609,TCEQ,NAD83,End of pipe as indicated on paper map,14
-98.380241002999981,31.838234999,10841-001.001,10841-001,001,0117722,CITY OF GUSTINE,C,D,KNS,COMANCHE,31.83823500,-98.38024100,1221,12,03,DRG,12.00000000,other,20081021,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.937175997999987,29.263303998000026,10843-001.001,10843-001,001,0033910,BOLING MUNICIPAL WATER DIST,C,D,KNS,WHARTON,29.26330400,-95.93717600,1305,13,12,DRG,12.00000000,other,20090202,TCEQ,NAD83,End of pipe as indicated on paper map,15
-96.256454502999986,29.183362667999972,10844-001.001,10844-001,001,0021474,CITY OF EL CAMPO,C,W,JMB,WHARTON,29.18336267,-96.25645450,1502,15,12,DRG,12.00000000,other,20140625,TCEQ,NAD83,End of pipe as indicated on paper map,14
-97.079287681999972,27.827096574999985,10846-001.001,10846-001,001,0024287,NUECES COUNTY WCID NO 4,C,W,JMB,NUECES,27.82709658,-97.07928768,2481,22,14,DRG,12.00000000,other,20150603,TCEQ,NAD83,End of pipe as indicated on paper map,14
-97.127565,27.755504998999982,10846-002.001,10846-002,001,0091031,NUECES COUNTY WCID NO 4,C,W,JMB,NUECES,27.75550500,-97.12756500,2481,22,14,DRG,12.00000000,other,20131126,TCEQ,NAD83,End of pipe as indicated on paper map,14
-97.611415137,32.686131586999977,10847-001.001,10847-001,001,0027120,CITY OF ALEDO,C,D,KNS,PARKER,32.68613159,-97.61141514,0831,08,04,DRG,12.00000000,other,20110418,TCEQ,NAD83,End of pipe as indicated on paper map,14
-96.403302001999975,29.114144,10849-001.001,10849-001,001,0027456,WHARTON COUNTY WCID 1,C,D,KLV,WHARTON,29.11414400,-96.40330200,1604,16,12,MAP_MAN,315.00000000,other,19980520,TCEQ,NAD83,End of pipe as indicated on paper map,14
-94.51930108900001,32.303993022999975,10850-001.001,10850-001,001,0022551,CITY OF TATUM,C,D,KNS,RUSK,32.30399302,-94.51930109,0505,05,05,DRG,12.00000000,other,20100909,TCEQ,NAD83,End of pipe as indicated on paper map,15
-94.362128515999984,29.802524875000017,10851-001.001,10851-001,001,0020460,TRINITY BAY CONSERVATION DISTRICT,C,W,LLF,CHAMBERS,29.80252488,-94.36212852,0701,07,12,DRG,12.00000000,other,20121227,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.489259002999972,30.108695996999984,10857-001.001,10857-001,001,0025399,MONTGOMERY COUNTY WCID NO 1,C,D,NLV,MONTGOMERY,30.10869600,-95.48925900,1008,10,12,DRG,12.00000000,other,20111027,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.879887256000018,33.173565027999985,10862-001.001,10862-001,001,0026689,CITY OF RUNAWAY BAY,C,D,KNS,WISE,33.17356503,-97.87988726,0811,08,04,DRG,12.00000000,other,20090504,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.088641,33.367730999,10869-001.001,10869-001,001,0021105,CITY OF TALCO,C,D,GMW,TITUS,33.36773100,-95.08864100,0303,03,05,DRG,12.00000000,other,20100721,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.487931999000011,31.382759001000011,10871-001.001,10871-001,001,0023078,HOUSTON COUNTY WCID NO 1,C,D,GMW,HOUSTON,31.38275900,-95.48793200,0804,08,10,DRG,12.00000000,other,20100813,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.615941468000017,32.72502676900001,14003-001.001,14003-001,001,0117919,COWTOWN RV PARK LTD,C,D,KNS,PARKER,32.72502677,-97.61594147,0831,08,04,DRG,12.00000000,other,20110427,TCEQ,NAD83,End of pipe as indicated on paper map,14
-99.788475579000021,29.180086159999973,10306-001.003,10306-001,003,0023094,CITY OF UVALDE,C,D,JMB,UVALDE,29.18008616,-99.78847558,2109,21,13,DRG,12.00000000,other,20140307,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.732362998999974,30.18885000099999,14542-001.001,14542-001,001,0126934,QUADVEST LP,C,D,KNS,MONTGOMERY,30.18885000,-95.73236300,1008,10,12,DRG,12.00000000,other,20080213,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.525881270000014,32.848019603000012,14668-001.001,14668-001,001,0128406,BULL KENNETH RAY,C,D,GMW,WOOD,32.84801960,-95.52588127,0512,05,05,DRG,12.00000000,other,20101019,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.303264001,32.506250998999974,14681-001.001,14681-001,001,0128503,TEXAS LONGHORN EQUITIES CORP II,C,D,NLV,JOHNSON,32.50625100,-97.30326400,0828,08,04,DRG,12.00000000,other,20110304,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.527490446,29.47459924399999,14611-001.001,14611-001,001,0127868,SIENNA PLANTATION MUD NO 5,C,D,KNS,FORT BEND,29.47459924,-95.52749045,1202,12,12,DRG,12.00000000,other,20090316,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.370625693000022,29.517944644000011,14756-001.001,14756-001,001,0129178,MA SEDONA LAKES LP,C,D,NLV,BRAZORIA,29.51794464,-95.37062569,2432,11,12,DRG,12.00000000,other,20101123,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.778036002000022,30.04594599699999,14675-001.001,14675-001,001,0128457,QUADVEST LP,C,W,GMW,HARRIS,30.04594600,-95.77803600,1009,10,12,DRG,12.00000000,other,20110120,TCEQ,NAD83,End of pipe as indicated on paper map,15
-96.423220997999977,30.588442,10426-004.001,10426-004,001,0128554,CITY OF BRYAN,C,W,LLF,BRAZOS,30.58844200,-96.42322100,1242,12,09,DRG,12.00000000,other,20120419,TCEQ,NAD83,End of pipe as indicated on paper map,14
-97.797559998999986,29.867073999000013,14831-001.001,14831-001,001,0129810,TURNER CREST VILLAGE WASTE WATERE COMPANY LLC,C,D,GMW,CALDWELL,29.86707400,-97.79756000,1808,18,11,DRG,12.00000000,other,20100826,TCEQ,NAD83,End of pipe as indicated on paper map,14
-94.924999135,29.869738584,05014-000.001,05014-000,001,0134465,ENTERPRISE PRODUCTS OPERATING LLC,P,W,NLV,CHAMBERS,29.86973858,-94.92499914,0902,09,12,DRG,12.00000000,other,20130620,TCEQ,NAD83,End of pipe as indicated on paper map,15
-94.924998120999987,29.868328443999985,05014-000.002,05014-000,002,0134465,ENTERPRISE PRODUCTS OPERATING LLC,P,S,NLV,CHAMBERS,29.86832844,-94.92499812,0902,09,12,DRG,12.00000000,other,20130620,TCEQ,NAD83,End of pipe as indicated on paper map,15
-94.92750143,29.86669014,05014-000.003,05014-000,003,0134465,ENTERPRISE PRODUCTS OPERATING LLC,P,W,NLV,CHAMBERS,29.86669014,-94.92750143,0902,09,12,DRG,12.00000000,other,20130620,TCEQ,NAD83,End of pipe as indicated on paper map,15
-94.927789064000024,29.86696394,05014-000.004,05014-000,004,0134465,ENTERPRISE PRODUCTS OPERATING LLC,P,S,NLV,CHAMBERS,29.86696394,-94.92778906,0902,09,12,DRG,12.00000000,other,20130620,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.370212747999972,29.48276638599998,15088-001.001,15008-001,001,0134511,BRAZORIA COUNTY MUD NO 61,P,D,JMB,BRAZORIA,29.48276639,-95.37021275,1108,11,12,DRG,12.00000000,other,20130625,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.571308341000019,29.906804201,14033-003.001,14033-003,001,0134481,POLONIA WSC,P,D,NLV,CALDWELL,29.90680420,-97.57130834,1810,18,11,DRG,12.00000000,other,20130702,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.129183931,29.570590665,10539-001.002,10539-001,002,0022543,CLEAR LAKE CITY WATER AUTHORITY,P,D,NLV,HARRIS,29.57059067,-95.12918393,1113,11,12,DRG,12.00000000,other,20130703,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.128601555999978,29.57000208300002,10539-001.003,10539-001,003,0022543,CLEAR LAKE CITY WATER AUTHORITY,P,D,NLV,HARRIS,29.57000208,-95.12860156,1113,11,12,DRG,12.00000000,other,20130703,TCEQ,NAD83,End of pipe as indicated on paper map,15
-99.494865947999983,27.446097694,10681-003.001,10681-003,001P,0085316,CITY OF LAREDO,P,W,JMB,WEBB,27.44609769,-99.49486595,2304,23,16,DOQQ,5.00000000,other,20130709,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.712118498999985,29.959319444000016,15090-001.001,15090-001,001,0134546,M&D DEVELOPMENT LLC,P,D,JMB,HARRIS,29.95931944,-95.71211850,1009,10,12,DOQQ,5.00000000,other,20130722,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.425656784000012,29.455078382000011,15093-001.001,15093-001,001,0134562,AUC GROUP LP,P,D,JMB,BRAZORIA,29.45507838,-95.42565678,1108,11,12,DRG,12.00000000,other,20130802,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.748180350999974,30.263863733999983,04854-000.001,04854-000,001,0131547,CJUF II STRATUS BLOCK 21 LLC,C,W,JMB,TRAVIS,30.26386373,-97.74818035,1429,14,11,DOQQ,5.00000000,other,20130805,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.587221204,33.632780993999972,04127-000.002,04127-000,002,0119288,LAMAR POWER PARTNERS LLC,P,W,JMB,LAMAR,33.63278099,-95.58722120,0305,03,5,DOQQ,5.00000000,other,20130809,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.508614865000027,27.82021932399999,05024-000.002,05024-000,002,0134694,EF90 LLC,P,W,NLV,NUECES,27.82021932,-97.50861487,2484,22,14,DOQQ,5.00000000,other,20131216,TCEQ,NAD83,End of pipe as indicated on paper map,14
-94.546862574999977,32.8484525,01331-000.003,01331-001,003,0062006,SOUTHWESTERN ELECTRIC POWER CO,C,W,JMB,MARION,32.84845250,-94.54686258,0403,04,05,DOQQ,5.00000000,other,20130828,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.86595416900002,29.789037106000023,15100-001.001,15100-001,001,0134660,CLAY DEVELOPMENT & CONSTRUCTION INC,P,D,JMB,WALLER,29.78903711,-95.86595417,1014,10,12,DRG,12.00000000,other,20130905,TCEQ,NAD83,End of pipe as indicated on paper map,15
-96.655530329999976,33.504979316,15143-001.001,15143-001,001,0134783,WALTON TEXAS LP,P,D,JMB,GRAYSON,33.50497932,-96.65553033,0821,08,04,DRG,12.00000000,other,20130909,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.701925214000028,31.731779280000012,05013-000.001,05013-000,001,0134325,SANDERSON FARMS INC,P,W,NLV,ANDERSON,31.73177928,-95.70192521,0804,08,05,DRG,12.00000000,other,20130509,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.592306796,29.87237726699999,15081-001.001,15081-001,001,0134376,529 #35 LTD,P,D,NLV,HARRIS,29.87237727,-95.59230680,1014,10,12,DRG,12.00000000,other,20130613,TCEQ,NAD83,End of pipe as indicated on paper map,15
-96.243511721,31.425202255999977,02430-000.002,02430-000,002,0082651,NRG TEXAS POWER LLC,C,W,NLV,FREESTONE,31.42520226,-96.24351172,1252,12,09,DRG,12.00000000,other,20130711,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.026114631999974,29.60485327399999,02110-000.003,02110-000,003,0075302,LBC HOUSTON LP,C,W,JMB,HARRIS,29.60485327,-95.02611463,2438,11,12,DOQQ,5.00000000,other,20130731,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.027950781000015,29.602120211999988,02110-000.004,02110-000,004,0075302,LBC HOUSTON LP,C,W,JMB,HARRIS,29.60212021,-95.02795078,2438,11,12,DOQQ,5.00000000,other,20130731,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.495680976000017,27.831343815000025,05019-000.001,05019-001,001,0134635,M&G RESINS USA LLC,P,W,JMB,NUECES,27.83134382,-97.49568098,2484,22,14,DRG,12.00000000,other,20130807,TCEQ,NAD83,End of pipe as indicated on paper map,14
-96.99234792499999,31.962433448000013,11542-002.001,11542-002,001,0134791,CITY OF BYNUM,P,D,NLV,HILL,31.96243345,-96.99234793,0817,08,9,DOQQ,5.00000000,other,20130820,TCEQ,NAD83,End of pipe as indicated on paper map,15
-98.240012827999976,33.826971925,10454-001.002,10454-001,002,0022306,CITY OF HENRIETTA,P,D,JMB,CLAY,33.82697193,-98.24001283,0211,02,03,DRG,12.00000000,other,20130827,TCEQ,NAD83,End of pipe as indicated on paper map,15
-101.15691789,31.289798153999982,15099-001.001,15099-001,001,0134643,SOUTH CENTRAL WATER CO,P,D,JMB,IRION,31.28979815,-101.15691789,1424,14,08,DRG,12.00000000,other,20130830,TCEQ,NAD83,End of pipe as indicated on paper map,13
-95.140323286000012,29.755824894999989,05018-000.001,05018-000,001,0134619,ELG METALS INC,P,S,JMB,HARRIS,29.75582490,-95.14032329,1006,10,12,DRG,12.00000000,other,20130906,TCEQ,NAD83,End of pipe as indicated on paper map,15
-98.231594926000014,28.467062387999988,05091-000.001,05091-000,001,0134741,MULTI-CHEM GROUP LLC,P,W,JMB,LIVE OAK,28.46706239,-98.23159493,2104,21,14,DRG,5.00000000,other,20130923,TCEQ,NAD83,End of pipe as indicated on paper map,14
-97.275503351999987,27.880673027,05097-000.001,05097-000,001,0134911,VOESTALPINE TEXAS LLC,P,W,NLV,SAN PATRICIO,27.88067303,-97.27550335,2481,20,14,DOQQ,5.00000000,other,20131022,TCEQ,NAD83,End of pipe as indicated on paper map,14
-97.54793416199999,26.075531579000028,15162-001.001,15162-001,001,0134899,EAST RIO HONDO WATER SUPPLY CO,P,D,JMB,CAMERON,26.07553158,-97.54793416,2494,22,15,DOQQ,5.00000000,other,20131025,TCEQ,NAD83,End of pipe as indicated on paper map,14
-97.752544122000018,28.405340345000013,05020-000.001,05020-000,001,0134597,CITY OF BEEVILLE,P,W,JMB,BEE,28.40534035,-97.75254412,2004,20,14,DOQQ,5.00000000,other,20131104,TCEQ,NAD83,End of pipe as indicated on paper map,14
-96.10148689499999,30.54339317900002,02460-000.003,02460-000,003,0083101,TEXAS MUNICIPAL POWER AGENCY,C,M,NLV,GRIMES,30.54339318,-96.10148690,1209,12,09,DRG,12.00000000,other,20141201,TCEQ,NAD83,End of pipe as indicated on paper map,14
-96.082936070000017,30.561428288,02460-000.004,02460-000,004,0083101,TEXAS MUNICIPAL POWER AGENCY,C,M,NLV,GRIMES,30.56142829,-96.08293607,1209,12,09,DRG,12.00000000,other,20141201,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.422248066,29.968535907999978,05105-000.001,05105-000,001,0135038,R&A HARRIS SOUTH LP,P,W,JMB,HARRIS,29.96853591,-95.42224807,1016,10,12,DRG,12.00000000,other,20140115,TCEQ,NAD83,End of pipe as indicated on paper map,15
-96.428608035000025,30.643886157999987,03821-000.001,03821-000,001,0113603,SANDERSON FARMS INC,C,W,JMB,BRAZOS,30.64388616,-96.42860804,1242,12,09,DOQQ,5.00000000,other,20140115,TCEQ,NAD83,End of pipe as indicated on paper map,15
-96.492917831999989,32.754696226000021,04359-000.002,04359-000,002,0124419,FPLE FORNEY LLC,P,S,JMB,KAUFMAN,32.75469623,-96.49291783,0819,08,04,DRG,12.00000000,other,20140221,TCEQ,NAD83,End of pipe as indicated on paper map,14
-97.039910406999979,32.447882235,05116-000.001,05116-000,001,0135208,BUCKLEY OIL CO,P,W,JMB,ELLIS,32.44788224,-97.03991041,0838,08,04,DRG,12.00000000,other,20140409,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.915342998000028,32.38562200299998,14233-001.001,14233-001,001,0027685,CITY OF TOLAR,C,D,KNS,HOOD,32.38562200,-97.91534300,1229,12,04,DRG,12.00000000,other,20081028,TCEQ,NAD83,End of pipe as indicated on paper map,14
-96.888441079000017,33.27177189299999,14234-001.001,14234-001,001,0123790,AQUA DEVELOPMENT INC,C,D,KNS,DENTON,33.27177189,-96.88844108,0823,08,04,DRG,12.00000000,other,20110512,TCEQ,NAD83,End of pipe as indicated on paper map,14
-99.00210304699999,29.043982362,14239-001.001,14239-001,001,0123854,MOORE WSC,C,D,NLV,FRIO,29.04398236,-99.00210305,2108,21,13,DRG,12.00000000,other,20050512,TCEQ,NAD83,End of pipe as indicated on paper map,14
-104.81774399900002,31.027278001000013,14241-001.001,14241-001,001,0107867,TOWN OF VAN HORN,C,D,KNS,CULBERSON,31.02727800,-104.81774400,2300,23,06,DRG,12.00000000,other,20050504,TCEQ,NAD83,End of pipe as indicated on paper map,13
-95.780874,29.642849001,14243-001.001,14243-001,001,0118982,AQUA DEVELOPMENT CO,C,D,NLV,FORT BEND,29.64284900,-95.78087400,1202,12,12,DRG,12.00000000,other,20081024,TCEQ,NAD83,End of pipe as indicated on paper map,15
-96.875132228999973,33.20571531500002,14245-001.001,14245-001,001,0123901,NORTH TEXAS MUNICIPAL WATER DISTRICT,C,W,KNS,DENTON,33.20571532,-96.87513223,0823,08,04,DRG,12.00000000,other,20110606,TCEQ,NAD83,End of pipe as indicated on paper map,14
-96.794041997000022,33.331987,14246-001.001,14246-001,001,0023272,CITY OF CELINA,C,D,GMW,COLLIN,33.33198700,-96.79404200,0823,08,04,DRG,12.00000000,other,20100323,TCEQ,NAD83,End of pipe as indicated on paper map,14
-94.639831002999983,32.501704002,14249-001.001,14249-001,001,0111465,TRINITY INDUSTRIES INC,C,D,GMW,HARRISON,32.50170400,-94.63983100,0505,05,05,DRG,12.00000000,other,20101202,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.549841599999979,32.789802502999976,15010-001.001,15010-001,001,0133116,ABRAXAS CORP,P,D,NLV,PARKER,32.78980250,-97.54984160,0807,08,04,DRG,12.00000000,other,20111206,TCEQ,NAD83,End of pipe as indicated on paper map,14
